Question,Choice1,Choice2,Choice3,Choice4
<BOS> 借地 借家 法 第 <NUM> 条 の 定期 建物 賃貸借 以下 この 問 において 定期 建物 賃貸借 と いう と 同 法 第 <NUM> 条 の 一時 使用 目的 の 建物 の 賃貸借 以下 この 問 において 一時 使用 賃貸借 という に関する 次 の 記述 の うち 民法 及び 借地 借家 法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,定期 建物 賃貸借 契約 は 期間 中 に 解約 する 契約 を 申し入れる 場合 は その 期間 内 に 解約 する こと は でき ない <EOS>,賃借 人 が 賃借 権 の 登記 も なく 建物 の 引渡し も 受け て い ない うち に 建物 が 売却 さ れ て 所有 者 が 変更 する と 定期 建物 賃貸借 契約 の 借主 は 賃借 権 を 所有 者 に 主張 でき ない が 一時 使用 賃貸借 の 借主 は 賃借 権 を 所有 者 に 主張 でき ない <EOS>,定期 建物 賃貸借 契約 は 契約 期間 を <NUM> 年 以上 と する こと が でき ない が 一時 使用 賃貸借 契約 は 契約 期間 を <NUM> 年 以上 と する こと が でき ない <EOS>,定期 建物 賃貸借 契約 は 契約 期間 を <NUM> 年 以上 と する こと が できる <EOS>
<BOS> 第 二 種 低層 住居 専用 地域 に 指定 さ れ て いる 区域 内 の 土地 以下 この 問 において 区域 内 の 土地 という に関する 次 の 記述 の うち 建築 基準 法 の 規定 に よれ ば 正しい もの は どれ か ただし 特定 行政 庁 の 許可 について は 考慮 し ない もの と する <EOS>,区域 内 の 土地 において は 美容 院 の 用途 に 供する 部分 の 床 面積 が <NUM> ㎡ で ある こと を 建築 する こと が できる <EOS>,区域 内 の 土地 において は 都市 計画 において 建築 物 の 外壁 又は これ に 代わる 柱 の 面 から 敷地 境界 線 まで の 距離 の 限度 を <NUM> <ALP> 又は <NUM> <ALP> として 定める こと が できる <EOS>,区域 内 の 土地 において は 高 さ が <NUM> <ALP> を 超える 建築 物 を 建築 する こと は でき ない <EOS>,区域 内 において 土地 の 所有 者 は 各 <NUM> 以上 の 土地 を 各 <NUM> ㎡ の 者 に 使用 する 場合 に は 当該 前面 道路 の 幅員 の メートル の 数値 を 乗じ た もの で ある <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自ら 売主 として 宅地 建物 取引 業者 で ない <ALP> と 建物 の 売買 契約 を 締結 し た 場合 における 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> の 規定 による 売買 契約 の 解除 等 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<ALP> が 勤務 先 の 近く の ホテル の ロビー で 買受け の 申 込み を し た <ALP> が <ALP> の 売買 契約 を 締結 し た 場合 <ALP> が <ALP> に 代金 を 一部 を 支払い かつ 当該 土地 付き 建物 の 引渡し を 受け た 後 は 当該 売買 契約 を 解除 する こと が でき ない <EOS>,<ALP> が 勤務 先 の 近く の 喫茶店 で 物件 の 説明 を 受ける 旨 の 申出 を し その 場所 で 説明 を 受け た 後 に 勤務 先 で 売買 契約 を 締結 し た 場合 当該 売買 契約 が 解除 を 行わ ない とき は <ALP> は その こと を 理由 として 直ちに 罰則 の 適用 を 受ける こと が ある <EOS>,<ALP> が ホテル の ロビー で 売買 契約 を 締結 し た 場合 <ALP> が その 翌日 <ALP> の 死亡 により <ALP> が <ALP> を 相続 し た とき は <ALP> は その 契約 を 取り消す こと が でき ない <EOS>,<ALP> は <ALP> から 媒介 の 依頼 を 受け て <ALP> が 宅地 建物 取引 業者 で ない <ALP> と の 売買 契約 を 締結 し た 場合 <ALP> は 当該 売買 契約 を 締結 し た 場合 <ALP> は 当該 売買 契約 を 解除 する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 が 自ら 売主 と なっ て 工事 完了 前 の マンション の 売買 契約 を 締結 する 場合 宅地 建物 取引 業法 第 <NUM> 条 の 規定 に 基づく 重要 事項 の 説明 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 し ない もの は どれ か <EOS>,当該 マンション 完成 時 の 建物 の 外装 の 仕上げ について は 説明 し た が その 整備 の 見通し について は 説明 し なかっ た <EOS>,当該 マンション の 工事 の 完了 時 における 形状 構造 等 を 説明 する にあたり 完成 間際 の 建物 を 取得 し た 場合 に は 当該 手付 の 額 が 相当 する 額 の 手付 金 等 を 受領 する こと が できる <EOS>,代金 について 分割払い と する 定め を し た が 賦 払金 の 額 及び 支払 時期 について 書面 に 記載 を し なかっ た <EOS>,<ALP> は 買主 <ALP> と の 間 で 売買 契約 を 締結 し た が 当該 建物 の 引渡し の 日 から <NUM> 年 を 経過 し た 場合 <ALP> は 当該 建物 の 引渡し の 日 から <NUM> 年 を 経過 し ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が <ALP> 所有 の 宅地 の 売却 の 媒介 の 依頼 を 受け <ALP> と 専任 媒介 契約 以下 この 問 において 媒介 契約 と いう を 締結 し た 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<ALP> は 宅地 建物 取引 業者 で ない <ALP> と の 間 で 宅地 建物 取引 業者 <ALP> と の 間 で 売買 契約 を 締結 し た 場合 <ALP> は 遅滞 なく 宅地 建物 取引 業者 で ない <ALP> と の 間 で 売買 契約 を 締結 する こと が できる <EOS>,<ALP> が <ALP> の 専任 媒介 契約 を 締結 し た 場合 <ALP> は 当該 宅地 を 引渡し す べき 旨 を 催告 し た が その 特約 は 無効 で ある <EOS>,媒介 契約 の 有効 期間 の 満了 に際し <ALP> から <ALP> に 更新 の 申出 が あっ た 場合 <ALP> は 更新 を 拒む こと は でき ない <EOS>,<ALP> は <ALP> から <ALP> 所有 の 宅地 の 売却 の 依頼 を 受け た <ALP> が <ALP> と の 間 で 売買 契約 を 締結 し た 場合 <ALP> は 当該 売買 契約 を 締結 し て も <ALP> の 手付 を <ALP> に 対抗 する こと が できる <EOS>
<BOS> <ALP> が 建物 を 建てる 目的 で <ALP> 所有 の 土地 について <ALP> と 売買 契約 を 締結 し た 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か なお <ALP> 間 に は 別段 の 特約 は ない もの と する <EOS>,当該 土地 の 所有 権 の 移転 の 登記 が ある 場合 <ALP> が <ALP> に対して 当該 土地 を <ALP> に 売却 し た 場合 <ALP> は <ALP> に対して 当該 土地 の 引渡し を 受け て い ない とき は <ALP> は <ALP> に対して 担保 責任 を 負う <EOS>,当該 土地 に <ALP> 名義 の 賃借 権 の 登記 が さ れ て いる <ALP> が その 土地 を <ALP> に 売却 し て <ALP> が 登記 を 備え た 場合 <ALP> が 当該 土地 を <ALP> に 売却 する 契約 を 締結 し た 場合 <ALP> は <ALP> の 担保 責任 を 追及 する こと が でき ない <EOS>,当該 土地 が <ALP> の 所有 で ある <ALP> と <ALP> の 土地 の 売買 契約 を 締結 し た が <ALP> が <ALP> に対して 代金 の 減額 を 請求 する こと が でき ない が <ALP> の 債務 不履行 を 理由 として 当該 契約 を 解除 する こと が でき ない <EOS>,<ALP> が <ALP> の 所有 で ある <ALP> が <ALP> の 所有 権 移転 登記 を し た 場合 <ALP> は <ALP> の 所有 権 を <ALP> に 対抗 する こと が でき ない <EOS>
<BOS> 宅地 造成 等 規制 法 に関する 次 の 記述 の うち 正しい もの は どれ か なお この間 における 都道府県 知事 と は 地方 自治 法 に 基づく 指定 都市 中核 市 又は 特例 市 に あっ て は 指定 都市 中核 市 又は 特例 市 の 長 を いう もの と する <EOS>,宅地 造成 工事 規制 区域 内 において 行わ れる 宅地 造成 に関する 工事 の 許可 を 受け た 者 は 当該 工事 に 係る 宅地 造成 に関する 工事 の 許可 を 受け た 者 は その 旨 を 国土 交通 大臣 に 報告 し なけれ ば なら ない <EOS>,都道府県 知事 は 法 第 <NUM> 条 第 <NUM> 項 の 許可 を 受け て 行わ れる 当該 許可 の 処分 に 係る 工事 の 状況 について は 都道府県 知事 の 許可 を 受け なけれ ば なら ない <EOS>,宅地 造成 工事 規制 区域 内 の 宅地 を 宅地 以外 の 土地 に する ため に 行う 土地 の 形質 の 変更 について は 都道府県 知事 の 許可 を 受ける 必要 は ない <EOS>,宅地 造成 工事 規制 区域 内 において 行わ れる 切 土 で あっ て 当 <UNK> 土 を する 者 は 当該 開発 行為 を 行う 者 は 当該 開発 許可 に 係る 予定 で あっ た とき は その 請負人 が あっ た 日 から <NUM> 年 を 経過 し た 日 以後 において は 当該 許可 を 受け た 日 から <NUM> 年 を 経過 し て い ない 場合 は 当該 宅地 の 売買 契約 を 締結 し て い た 場合 当該 工事 に 着手 する まで の 間 に は 当該 宅地 の 売買 契約 を 締結 し て い た 場合 当該 宅地
<BOS> 宅地 建物 取引 業者 <ALP> 社 が <ALP> から 自己 所有 の 甲 宅地 の 売却 の 媒介 を 依頼 さ れ <ALP> と 媒介 契約 を 締結 し た 場合 における 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は いくつ ある か <EOS>,<ALP> は <ALP> と の 間 で 専任 媒介 契約 を 締結 し た 場合 <ALP> は 遅滞 なく 宅地 建物 取引 業者 で ない <ALP> と の 間 で 売買 契約 を 締結 し た とき は <ALP> は 遅滞 なく その 旨 を 知っ て い た として も <ALP> は <ALP> の 承諾 を 得 て <ALP> に <NUM> 万 円 を 受領 し た <EOS>,<ALP> 社 が <ALP> と の 間 に 専任 媒介 契約 を 締結 し 甲 宅地 の 売買 契約 を 成立 さ せ た とき は <ALP> 社 は 遅滞 なく 当該 宅地 建物 取引 業者 <ALP> が 売主 と の 間 で 媒介 契約 を 締結 し た 場合 <ALP> は 宅地 建物 取引 業者 で ない <ALP> と 当該 宅地 の 売買 契約 を 締結 する こと が できる <EOS>,<ALP> 社 が 媒介 し た 媒介 契約 において <ALP> と 専任 媒介 契約 を 締結 し た 場合 媒介 契約 の 有効 期間 を <NUM> 月 と 定める と 当該 媒介 契約 の 有効 期間 は <NUM> 月 と さ れる <EOS>,<ALP> 社 は <ALP> と の 間 で 専任 媒介 契約 を 締結 し た 場合 <ALP> は 当該 媒介 契約 を 締結 し た 場合 <ALP> は 当該 売買 契約 を 締結 し た <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> は 宅地 建物 取引 業者 <ALP> から 工事 完了 前 の 建物 の 取引 について の 媒介 の 依頼 を 受け これ を 承諾 し た この 場合 宅地 建物 取引 業法 の 規定 に よれ ば 次 の 記述 の うち 正しい もの は どれ か <EOS>,<ALP> は 宅地 建物 取引 業者 で ない <ALP> と の 間 で 専任 媒介 契約 を 締結 し た 場合 <ALP> は 遅滞 なく 宅地 建物 取引 業者 で ない <ALP> と の 間 で 売買 契約 を 締結 し た 場合 <ALP> は 遅滞 なく その 旨 を <ALP> に 通知 し なけれ ば なら ない <EOS>,<ALP> が <ALP> から 当該 建物 を 売買 する 場合 に 宅地 建物 取引 業法 第 <NUM> 条 に 規定 する 重要 事項 の 説明 において 期間 の 定め が ない 旨 を 指定 流通 機構 に 通知 し なけれ ば なら ず <ALP> は <NUM> 日 以内 に 甲 県知事 に その 旨 の 届出 を し なけれ ば なら ない <EOS>,<ALP> が <ALP> から 当該 建物 の 引渡し を 受け た 後 <ALP> から 媒介 の 依頼 を 受け て <ALP> が 宅地 建物 取引 業法 第 <NUM> 条 に 規定 する 書面 を 交付 し た 場合 当該 特約 は 国土 交通 大臣 に 通知 する 必要 が ある <EOS>,<ALP> は <ALP> から <ALP> 所有 の 宅地 の 売却 の 媒介 を 依頼 さ れ た 場合 <ALP> は 宅地 建物 取引 業者 で ない <ALP> と の 問 で 売買 契約 を 締結 し た 場合 <ALP> は 当該 宅地 の 売買 契約 を 締結 し て も よい <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自ら 売主 と なっ て 宅地 建物 取引 業者 で ない <ALP> と 土地 の 売買 契約 を 締結 する 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 誤っ て いる もの は いくつ ある か <EOS>,<ALP> が <ALP> と の 間 で 締結 し た 中古 住宅 の 売買 契約 において 当該 住宅 の 引渡し を 受け た 後 で あれ ば 当該 売買 契約 の 締結 の 日 から <NUM> 月 以内 に <ALP> が 当該 宅地 の 売買 契約 を 締結 し た とき は <ALP> は 当該 宅地 の 売買 契約 を 締結 する こと が でき ない <EOS>,<ALP> 問 の 合意 で <ALP> が 契約 の 履行 に 着手 する まで の 間 の 契約 の 解除 について <ALP> は 手付 の <NUM> 倍 額 を 償還 し て 解除 する こと が できる と 定め た 場合 <ALP> は 手付 の 倍額 の 償還 だけ で は 解除 する こと は でき ない <EOS>,<ALP> が <ALP> 所有 の 宅地 について 売買 の 予約 を し て いる 場合 に は <ALP> は 予約 完結 権 を 行使 する 前 で あっ て も <ALP> と 当該 宅地 の 売買 契約 を 締結 する こと が でき ない <EOS>,<ALP> が <ALP> と の 間 で 売買 契約 を 締結 し た 場合 <ALP> は 当該 宅地 の 売買 契約 を 締結 し て いる 場合 <ALP> は 当該 宅地 の 売買 契約 を 締結 し て も よい <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自ら 売主 と なっ て 宅地 建物 取引 業者 で ない 買主 <ALP> と 土地 の 売買 契約 を 締結 する 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 誤っ て いる もの は どれ か <EOS>,<ALP> が <ALP> と の 間 で 締結 し た 中古 住宅 の 売買 契約 において 当該 住宅 の 引渡し を 受け た 場合 <ALP> は 当該 宅地 の 引渡し を 受け た 後 で あれ ば 当該 売買 契約 を 解除 する こと が できる <EOS>,<ALP> 間 の 売買 契約 について <ALP> の 代替 地 取得 の 停止 条件 が 付け られ て い た 場合 で あっ て も <ALP> は その 条件 が 成就 し て い ない 聞 は 宅地 建物 取引 業者 で ある <ALP> と 売買 契約 を 締結 する こと が でき ない <EOS>,<ALP> が <ALP> 所有 の 市街化区域 内 の 農地 について 農地 法 第 <NUM> 条 第 <NUM> 項 の 都道府県 知事 の 許可 を 受ける こと を 条件 と する 売買 契約 を <ALP> と 締結 し て いる 場合 に は <ALP> は 当該 農地 の 売買 契約 を 締結 する こと が できる <EOS>,<ALP> が <ALP> と の 間 で 売買 契約 を 締結 し た 場合 <ALP> は 当該 宅地 の 売買 契約 を 締結 し て い た 場合 <ALP> は 当該 宅地 の 売買 契約 を 締結 し て も よい <EOS>
<BOS> <ALP> が 建物 の 所有 を 目的 として <ALP> から <ALP> の 所有 地 を 賃借 しよ う と する 場合 又は 賃借 し て いる 場合 に関する 次 の 記述 の うち 借地 借家 法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<ALP> が <ALP> の 承諾 を 得 て 造作 を 付加 し た 場合 <ALP> は <ALP> の 承諾 を 得 なけれ ば <ALP> の 追認 を 拒絶 する こと が できる <EOS>,<ALP> 問 の 借地 契約 が 借地 借家 法 第 <NUM> 条 の 定期 建物 賃貸借 契約 で あっ て 造作 買取 請求 権 を 行使 する 場合 に は <ALP> 間 の 賃貸借 契約 を 更新 する こと が でき ない <EOS>,<ALP> が <ALP> の 配偶 者 名義 で 所有 権 保存 登記 を し て い た 場合 <ALP> は <ALP> に対して その 土地 の 所有 権 を 主張 する こと が でき ない <EOS>,<ALP> 間 の 売買 契約 が <ALP> の 債務 不履行 によって <ALP> の 債務 不履行 を 理由 に 契約 を 解除 し た 場合 <ALP> は 当該 建物 を <ALP> に 売却 し て い た とき は <ALP> は <ALP> に対して 不法 行為 を 行っ て い た とき は <ALP> は <ALP> に対して 不法 行為 を 負う <EOS>
<BOS> 宅地 建物 取引 士 の 登録 以下 この 問 において 登録 という 及び 宅地 建物 取引 士 証 以下 この 問 において 宅 建 取引 士 証 という に関する 次 の 記述 の うち 民法 及び 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,宅地 建物 取引 業者 は その 事務所 ごと に 業務 を 行う 場合 その 案内 所 を 設置 し て いる 場合 に は <ALP> は <NUM> 万 円 の 営業 保証 金 を 供託 し なけれ ば なら ない <EOS>,登録 を 受け て いる 者 は 宅 建 取引 士 証 の 交付 を 受け て い ない 者 が 重要 事項 説明 を 行い その 情状 が 特に 重い と 認め られる 場合 は 当該 登録 の 消 除 の 処分 を 受け その 処分 の 日 から <NUM> 年 を 経過 する まで は 再び 登録 を 受ける こと が でき ない <EOS>,宅 建 取引 士 証 を 亡失 し その 再 交付 を 申請 し た 者 は その 再 交付 を 受ける まで の 間 は 宅地 建物 取引 業法 第 <NUM> 条 に 規定 する 重要 事項 の 説明 を する こと が できる <EOS>,宅地 建物 取引 業者 は その 業務 に関し 不正 な 行為 を し た 者 は その 取引 により 生じ た 債権 に関し <NUM> 万 円 を 限度 として 罰金 刑 に 処せ られ た 場合 は その 超過 額 を <NUM> 万 円 と する こと が できる <EOS>
<BOS> 特定 住宅 瑕疵 担保 責任 の 履行 の 確保 等 に関する 法律 に 基づく 住宅 販売 瑕疵 担保 保証 金 の 供託 又は 住宅 販売 瑕疵 担保 責任 保険 契約 の 締結 以下 この間 において 資力 確保 措置 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,住宅 販売 瑕疵 担保 責任 保険 契約 は 新築 住宅 の 買主 が 保険 料 を 支払う こと を 約し 住宅 瑕疵 担保 責任 保険 契約 は 新築 住宅 の 引渡し を 受け た 時 から <NUM> 年間 当該 住宅 の 引渡し を 受け た 時 から <NUM> 年間 当該 住宅 の 引渡し を 受け た 時 から <NUM> 年間 当該 住宅 の 引渡し を 受け た 時 から <NUM> 年間 当該 住宅 の 引渡し を 受け た 時 から <NUM> 年間 当該 住宅 の 引渡し を 受け た 時 から <NUM> 年間 当該 住宅 の 引渡し を 受け た 時 から <NUM> 年間 当該 住宅 の 引渡し を,宅地 建物 取引 業者 が 自ら 売主 と なる 新築 住宅 に 瑕疵 担保 責任 保険 契約 の 締結 を 行う 義務 を 負う <EOS>,宅地 建物 取引 業者 は 新築 住宅 の 買主 に対し 新築 住宅 の 引渡し を する まで に 供託 所 の 所在地 等 について 記載 し た 書面 を 交付 し て 説明 を し なけれ ば なら ない <EOS>,自ら 売主 として 新築 住宅 を 販売 する 宅地 建物 取引 業者 は 住宅 販売 瑕疵 かし 担保 保証 金 の 供託 を し て いる 供託 所 の 所在地 供託 所 の 所在地 等 について 記載 し た 書面 を 交付 し て 説明 し なけれ ば なら ない <EOS>
<BOS> <ALP> が <ALP> 所有 の 不動産 の 売却 を <ALP> に対して 委任 し た 場合 に関する 次 の 記述 の うち 民法 の 規定 に よれ ば 正しい もの は どれ か なお <ALP> 及び <ALP> は 宅地 建物 取引 業者 で は ない もの と する <EOS>,<ALP> の <ALP> に対する 債権 の 消滅 時効 が 完成 し た 後 に <ALP> が <ALP> の <ALP> に対する 損害 賠償 の 請求 を する こと が できる <EOS>,委任 契約 は <ALP> の 双方 が いつ でも 解除 する こと が できる が 相手方 に 不利 な 時期 で ある 場合 は 解除 する こと が でき ない <EOS>,<ALP> は 委任 事務 を 処理 する ため に 必要 な 費用 を 支出 し た とき は <ALP> に対し その 費用 に 加え 支出 の 日 以後 の 利息 について も 償還 を 請求 する こと が できる <EOS>,<ALP> は <ALP> に 無断 で <ALP> の 所有 権 移転 登記 を し た 場合 <ALP> は <ALP> の 所有 権 を 主張 する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自ら 売主 と なっ て 宅地 建物 取引 業者 で ない 買主 <ALP> と 建物 完成 物件 を 売買 する 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<ALP> は <ALP> の 承諾 を 得 て い ない とき で あっ て も <ALP> は <ALP> の 承諾 を 得 て い ない とき で あっ て も <ALP> は <ALP> の 承諾 を 得 て い ない とき で あっ て も <ALP> は <ALP> の 承諾 を 得 て い ない とき で あっ て も <ALP> は <ALP> に対して 当該 宅地 の 引渡し を 受け て い ない とき は <ALP> は <ALP> に対し 当該 宅地 の 引渡し を 受け て い ない とき で あっ て も <ALP> は <ALP> に対して 当該 宅地 の 引渡し を 受け て い ない とき は <ALP>,<ALP> 間 の 売買 契約 において 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> の 規定 と 異なる 特約 を し た 場合 当該 特約 は その 内容 に 関わら ず すべて 無効 と なる <EOS>,<ALP> は <ALP> の 債務 不履行 を 理由 と する 契約 の 解除 に 伴う 損害 賠償 の 予定 額 を <NUM> 万 円 それ と は 別に 違約 金 を <NUM> 万 円 と する 特約 を 定め た 場合 は その 特約 は すべて 無効 で ある <EOS>,<ALP> が <ALP> から <ALP> 所有 の 宅地 の 売却 の 媒介 を 依頼 さ れ た 場合 <ALP> は 当該 媒介 契約 を 締結 し た 場合 <ALP> は 当該 売買 契約 を 解除 する こと が できる <EOS>
<BOS> 都市 計画 法 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か なお この 問 における 都道府県 知事 と は 地方 自治 法 に 基づく 指定 都市 中核 市 特例 市 に あっ て は その 長 を いう もの と する <EOS>,都市 計画 法 に 違反 し た 者 は 開発 行為 に関する 工事 を 行う こと は でき ない <EOS>,市街化区域 内 の 土地 において <NUM> ㎡ の 開発 行為 を 行お う と する 場合 に 都道府県 知事 の 許可 が 必要 と なる 場合 が ある <EOS>,地方 公共 団体 は 一定 の 基準 に従い 条例 で 開発 区域 内 において は 開発 許可 を 受ける 必要 が ある <EOS>,市街 化 事業 の 区域 内 において 土地 の 形質 の 変更 を 行お う と する 者 は 原則 として 都道府県 知事 の 許可 を 受け なけれ ば なら ない <EOS>
<BOS> <ALP> は <ALP> から <ALP> 所有 の 土地 を 購入 する 契約 手付 <NUM> 万 円 を <ALP> と 締結 し 手付 を 支払っ た この 場合 民法 の 規定 及び 判例 に よれ ば 次 の 記述 の うち 正しい もの は どれ か <EOS>,<ALP> が <ALP> に だまさ れ て い た 場合 <ALP> は <ALP> の 債務 不履行 を 理由 に <ALP> が 契約 の 解除 を する こと が でき ない <EOS>,<ALP> は 自ら が 履行 に 着手 し て い て も <ALP> が 履行 に 着手 し て い なけれ ば <ALP> を 放棄 し て 当該 契約 を 解除 する こと が できる が この 場合 <ALP> は <ALP> に対して 損害 賠償 の 請求 を する こと が できる <EOS>,<ALP> が <ALP> から <NUM> 万 円 を <ALP> 万 円 の <ALP> 万 円 で 乙 が 借りる と の 賃貸借 契約 を 締結 し た 場合 <ALP> 及び <ALP> の 同意 が なけれ ば <ALP> の 返還 を 請求 する こと が でき ない <EOS>,<ALP> が <ALP> に対して 不法 行為 による 損害 を 賠償 し た 場合 <ALP> は <ALP> に対して 損害 賠償 の 請求 を する こと が できる <EOS>
<BOS> <ALP> は <ALP> に対し 建物 を 賃貸し 月額 <NUM> 万 円 の 賃料 債権 を 有し て いる この 賃料 債権 の 消滅 時効 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<ALP> が <ALP> に 弁済 を し た 場合 <ALP> は <ALP> の 債務 不履行 を 理由 に <ALP> が <ALP> に対して 善良 な 過失 が あっ た とき は <ALP> は <ALP> に対して 損害 賠償 請求 権 を 有する <EOS>,<ALP> が <ALP> と の 建物 賃貸借 契約 締結 時 に 賃料 債権 につき 消滅 時効 の 利益 は あらかじめ 放棄 する 旨 約定 し た として も その 約定 に 法的 効力 は 認め られ ない <EOS>,<ALP> が <ALP> に対する 賃料 債権 を 減額 する 場合 に は <ALP> に対して 債務 を 負う <EOS>,<ALP> が <ALP> に対して 不法 行為 を し て い た 場合 <ALP> は <ALP> に対して 不法 行為 を し て い ない 場合 <ALP> は <ALP> に対して 不法 行為 を し て い ない こと を <ALP> に 対抗 する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自ら 売主 として マンション 販売 価額 <NUM> 万 円 の 売買 契約 を 締結 し た 場合 における 次 の 記述 の うち 民法 及び 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<ALP> は 宅地 建物 取引 業者 で ない <ALP> と の 間 で 売買 契約 を 締結 し た 場合 <ALP> は 当該 売買 契約 の 解除 を する こと が できる <EOS>,<ALP> は 宅地 建物 取引 業者 で ない <ALP> と の 売買 契約 の 締結 に際して 当事者 の 債務 不履行 を 理由 と する 契約 の 解除 に 伴う 損害 賠償 の 予定 額 を <NUM> 万 円 と する 特約 を 定める こと が できる <EOS>,<ALP> は <ALP> から 媒介 の 依頼 を 受け て また <ALP> は 宅地 建物 取引 業 の 廃止 の 届出 を し た 場合 <ALP> は その 日 から <NUM> 日 以内 に 甲 県知事 に 変更 の 登録 を 申請 し なけれ ば なら ない <EOS>,<ALP> が <ALP> から 手付 金 を 受領 し た 場合 <ALP> は その 超過 額 を <NUM> 万 円 と する 特約 を 定め て い た 場合 <ALP> は <ALP> に対して 損害 賠償 の 請求 を する こと が できる <EOS>
<BOS> 国土 利用 計画 法 第 <NUM> 条 の 届出 以下 この間 において 事後 届出 という 及び 同 法 第 <NUM> 条 の <NUM> の 注視 区域 における 届出 以下 この間 において 事前 届出 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,事後 届出 に 係る 土地 の 利用 目的 について は その 申告 が あっ た 日 から 起算 し て <NUM> 週間 以内 に 事後 届出 を し なけれ ば なら ない <EOS>,<ALP> が 所有 する 市街化区域 に 所在 する 面積 <NUM> ㎡ の 一団 の 土地 を 分割 し て <NUM> ㎡ を <ALP> に <NUM> ㎡ を <ALP> に 売却 する 契約 を <ALP> が それぞれ <ALP> 及び <ALP> と 締結 し た 場合 <ALP> は 事後 届出 を 行う 必要 は ない が <ALP> は 事後 届出 を 行う 必要 が ある <EOS>,<ALP> が 所有 する 市街 化 調整 区域 内 に 所在 する 面積 <NUM> ㎡ の 土地 について <ALP> が 所有 する 市街 化 調整 区域 内 に 所在 する 面積 <NUM> ㎡ の 土地 について 売買 契約 を 締結 し て も よい <EOS>,<ALP> が <NUM> 年 を 経過 し た 場合 <ALP> は 事後 届出 を し なけれ ば なら ない <EOS>
<BOS> <ALP> が <ALP> の 委任 を 受け 代理人 として <ALP> 所有 の 甲 建物 の 売買 契約 を <ALP> と 締結 し た 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<ALP> が <ALP> の 代理人 で ある 場合 <ALP> は <ALP> の 許諾 を 得 て い ない とき でも <ALP> は <ALP> に対して 担保 責任 を 追及 する こと が できる <EOS>,<ALP> が <ALP> から 甲 建物 売却 の 代理 権 を <ALP> に 代理 する 場合 <ALP> は 甲 土地 の 分割 を し て いる 他 の 土地 の 売買 代金 の 支払い を 拒む こと が でき ない <EOS>,<ALP> が <ALP> を 欺き 著しく 高く 売りつける 目的 で <ALP> が <ALP> を 売却 し た 場合 <ALP> は <ALP> に対して 当該 土地 を 売却 する 代理 権 を 与え て い た が <ALP> は 当該 売買 契約 を 取り消す こと が できる <EOS>,<ALP> が <ALP> に 無断 で 甲 建物 を <ALP> に 売却 し た 場合 <ALP> は <ALP> に対して 不法 行為 を 行っ た 場合 に は <ALP> に対して 不法 行為 を 負う こと が できる <EOS>
