Question,Choice
<BOS> 物上 代位 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か なお 物上 代位 を 行う 担保 権 者 は 物上 代位 の 対象 と する 目的 物 について その 払 渡し 又は 引渡し の 前 に 他 の 債権 者 より も 先 に 差し押さえる もの と する <EOS>,<BOS> 不動産 に 留置 権 を 有する 者 は 目的 物 が 金銭 債権 に 転じ た 場合 に は 当該 金銭 に 物上 代位 する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が <ALP> 所有 の 宅地 の 売却 の 媒介 依頼 を 受け <ALP> と 専任 媒介 契約 を 締結 し た この 場合 において 次 の 記述 の うち <ALP> が <ALP> に 交付 する 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> の 規定 に 基づく 媒介 契約 の 内容 を 記載 し た 書面 に 記載 する 必要 が ある もの は いくつ ある か <EOS>,<BOS> 当該 媒介 契約 の 有効 期間 及び 解除 に関する 事項 <EOS>
<BOS> <ALP> は 昭和 <NUM> 年 西暦 <NUM> 年 <NUM> 月 <ALP> から その 所有 地 を 建物 の 所有 を 目的 として 存続 期間 <NUM> 年 の 約定 で 賃借 し その後 <ALP> 所有 の 建物 を 同 土地 上 に 建築 し <ALP> 名義 の 所有 権 保存 登記 を し て き た この 場合 借地 借家 法 の 規定 に よれ ば 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 平成 <NUM> 年 <NUM> 月 の 契約 更新 後 更新 期間 満了 前 に 本件 借地 上 の <ALP> 所有 建物 が 朽廃 し た 場合 本件 借地 権 は 消滅 し ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> は <ALP> から <ALP> 所有 の 宅地 の 売却 について 媒介 の 依頼 を 受け た この 場合 における 次 の 記述 の うち 宅地 建物 取引 業法 以下 この 問 において 法 という の 規定 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> <ALP> は <ALP> と の 間 で 有効 期間 を <NUM> か月 と する 専任 媒介 契約 を 締結 する 際 <ALP> が 媒介 契約 を 更新 する 旨 を 申し出 ない 場合 は 有効 期間 満了 により 自動 更新 する もの と する 旨 の 特約 を 定める こと が できる <EOS>
<BOS> 借地 借家 法 第 <NUM> 条 の 定期 建物 賃貸借 以下 この 問 において 定期 建物 賃貸借 という に関する 次 の 記述 の うち 借地 借家 法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 定期 建物 賃貸借 契約 を 締結 する に は 当該 契約 に 係る 賃貸借 は 契約 の 更新 が なく 期間 の 満了 によって 終了 する こと を 当該 契約 書 と 同じ 書面 内 に 記載 し て 説明 すれ ば 足りる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 甲 の 依頼 を 受け 宅地 建物 取引 業者 <ALP> が 乙 の 依頼 を 受け て 契約 を 成立 さ せ 報酬 を 受領 し た 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 し ない もの は どれ か なお 消費 税 ・ 地方 消費 税 について は 考慮 し ない もの と する <EOS>,<BOS> <ALP> は 甲 から 媒介 依頼 を <ALP> は 乙 から 代理 依頼 を 受け て <ALP> が 共同 し て 甲乙 間 に 甲 所有 の 建物 <NUM> 万 円 の 売買 契約 を 成立 さ せ た 場合 で <ALP> 甲 及び 乙 の 話し合い により <ALP> は 甲 から 報酬 を 受領 し ない こと と し た ので <ALP> が 乙 から <NUM> 万 円 の 報酬 を 受領 し た <EOS>
<BOS> 固定 資産 税 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 国会 議員 及び 地方 団体 の 議会 の 議員 は 固定 資産 評価 員 を 兼ねる こと が できる <EOS>
<BOS> 建築 物 の 構造 に関する 次 の 記述 の うち 最も 不 適当 な もの は どれ か <EOS>,<BOS> 不同 沈下 を 減少 さ せる に は 地中 ばり の 剛性 は 小さい ほう が よい <EOS>
<BOS> 建築 物 の 構造 と 材料 に関する 次 の 記述 の うち 不 適当 な もの は どれ か <EOS>,<BOS> 木材 の 強度 は 含水 率 が 大きい 状態 の ほう が 小さく なる <EOS>
<BOS> 土地 の 合 筆 の 登記 または 分筆 の 登記 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 登記 記録 の 甲 区 に 記録 さ れ た 所有 権 の 登記 名義 人 以外 の 者 は 土地 の 分筆 又は 合 筆 の 登記 を 申請 する こと が でき ない <EOS>
<BOS> 次 の 記述 の うち 宅地 建物 取引 業法 の 免許 を 受ける 必要 の ない もの は どれ か <EOS>,<BOS> 建設 業法 による 建設 業 の 許可 を 受け て いる <ALP> が 建築 請負 契約 に 付帯 し て 取り決め た 約束 を 履行 する ため 建築 し た 共同 住宅 の 売買 の あっせん を 反復 継続 し て 行う 場合 <EOS>
<BOS> 土地 区画 整理 組合 が 施行 する 土地 区画 整理 事業 に関する 次 の 記述 の うち 土地 区画 整理 法 以下 この間 において 法 という の 規定 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 都道府県 知事 市 の 区域 内 において 施行 する 土地 区画 整理 事業 に あっ て は 当該 市 の 長 は 法 第 <NUM> 条 第 <NUM> 項 に 規定 する 建築 行為 等 の 許可 の 申請 が あっ た 場合 において その 許可 を しよ う と する とき は 当該 組合 の 意見 を 聴か なけれ ば なら ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 区分 所有 建物 の 賃貸 の 媒介 を する 場合 の 宅地 建物 取引 業法 第 <NUM> 条 の 規定 に 基づく 重要 事項 の 説明 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 し ない もの は どれ か <EOS>,<BOS> 貸借 契約 終了 時 における 敷金 その他 の 金銭 の 精算 に関する 事項 が 定まっ て い なかっ た ので その 旨 を 説明 し なかっ た <EOS>
<BOS> 法人 で ある 宅地 建物 取引 業者 <ALP> 甲 県知事 免許 に対する 監督 処分 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> <ALP> は 事務所 に 置か なけれ ば なら ない 専任 の 宅地 建物 取引 士 に 欠員 が 生じ た 場合 直ちに 宅地 建物 取引 業法 違反 と なり 業務 停止 処分 を 受ける こと が ある <EOS>
<BOS> <ALP> は 建物 所有 の 目的 で <ALP> から 甲地 を 賃借 し 借地 権 の 登記 は し て い ない その 土地 の 上 に <ALP> 単独 所有 の 乙 建物 を 建築 し て いる この 場合 に関する 次 の 記述 の うち 民法 及び 借地 借家 法 の 規定 並びに 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> が 甲地 を <ALP> に 売却 し 所有 権 移転 登記 を し た 場合 <ALP> は 乙 建物 について <ALP> の 配偶 者 名義 で 所有 権 保存 登記 を し て い て も <ALP> に対して 借地 権 を 対抗 する こと が でき ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 平成 <NUM> 年 <NUM> 月 <NUM> 日 に 自ら 売主 として 宅地 建物 取引 業者 で ない <ALP> と 建物 建築 工事 完了 済 の 売買 契約 を 代金 <NUM> 万 円 で 締結 し 手付 金 <NUM> 万 円 を 同年 <NUM> 月 <NUM> 日 に 中間 金 <NUM> 万 円 を 同年 <NUM> 月 <NUM> 日 に 残 代金 <NUM> 万 円 を 同年 <NUM> 月 <NUM> 日 に 支払う もの と し た この 場合 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> に 規定 する 手付 金 等 の 保全 措置 以下 この間 において 保全 措置 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 残 代金 の 支払い を 建物 の 引渡し 及び 所有 権 移転 登記 と 同時に 行う と 決め た 場合 <ALP> は 中間 金 を 受領 する 際 に は <NUM> 万 円 について のみ 保全 措置 を 講じれ ば よい <EOS>
<BOS> 宅地 建物 取引 業法 以下 この 問 において 法 という 第 <NUM> 条 に 規定 する 重要 事項 の 説明 又は 法 第 <NUM> 条 に 規定 する 契約 が 成立 し た とき に 交付 す べき 書面 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 宅 建 取引 士 が 法 第 <NUM> 条 に 規定 する 契約 が 成立 し た とき に 交付 す べき 書面 を 作成 し た 場合 は 自ら 署名 を すれ ば 押印 は 省略 できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自ら 売主 と なっ て 自己 所有 の 宅地 を 宅地 建物 取引 業者 <ALP> に 売却 する 契約 を 締結 し た 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 する もの は どれ か <EOS>,<BOS> <ALP> 問 の 売買 契約 において <ALP> が 瑕疵 担保 責任 を 負う べき 期間 を 契約 の とき から <NUM> 年 と する こと と し た <EOS>
<BOS> 国土 利用 計画 法 第 <NUM> 条 の 届出 以下 この間 において 事後 届出 という に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> <ALP> が その 所有 する 市街化区域 内 に 所在 する <NUM> ㎡ の 土地 を <NUM> つ に 分割 し <NUM> ㎡ を <ALP> に 残り <NUM> <ALP> ㎡ を <ALP> に 売却 する 場合 買主 で ある <ALP> 及び <ALP> は それぞれ 事後 届出 を し なけれ ば なら ない <EOS>
<BOS> 不動産 登記 に 係る 登録 免許 税 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 土地 の 所有 権 の 移転 登記 に 係る 登録 免許 税 の 納 期限 は 登記 を 受ける 時 で ある <EOS>
<BOS> 土地 区画 整理 法 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 宅地 について 所有 権 を 有する 者 が 設立 する 土地 区画 整理 組合 は 当該 権利 の 目的 で ある 宅地 を 含む 一定 の 区域 の 土地 について 土地 区画 整理 事業 を 施行 する こと が できる <EOS>
<BOS> 都市 計画 法 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 都市 施設 は 道路 など 都市 計画 区域 内 の 整備 開発 及び 保全 の ため に 必要 と さ れる 一定 の 施設 で あり 都市 計画 区域 外 において は 定める こと が でき ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 甲 から 宅地 建物 取引 業者 <ALP> が 乙 から それぞれ 媒介 の 依頼 を 受け て <ALP> 共同 し て 甲乙 間 に 居住 用 建物 の 賃貸借 契約 <NUM> カ月 分 の 借 賃 <NUM> 万 円 を 成立 さ せ 報酬 を 受領 し た 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 し ない もの は どれ か ただし 媒介 の 依頼 を 受ける に当たり 報酬 額 について 別段 の 定め は ない もの と し かつ 消費 税 ・ 地方 消費 税 について は 考慮 し ない もの と する <EOS>,<BOS> <ALP> が 甲 から <NUM> 万 円 受領 し た ので <ALP> は 乙 から 報酬 を 受領 し なかっ た <EOS>
<BOS> 固定 資産 税 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 固定 資産 課税 台帳 に 登録 さ れ た 価格 に関する 審査 の 申出 は 固定 資産 評価 審査 委員 会 に対して 行う こと が できる <EOS>
<BOS> 次 の 記述 の うち 都市 計画 法 の 規定 に よれ ば 誤っ て いる もの は どれ か ただし 地方 自治 法 に 基づく 指定 都市 中核 市 又は 特例 市 の 特例 について は 考慮 し ない もの と する <EOS>,<BOS> 都市 計画 区域 及び 準 都市 計画 区域 以外 の 区域 内 における 開発 行為 について は 常に 開発 許可 が 不要 で ある <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 社 が 甲 県知事 から 免許 を 受け て いる 場合 に関する 次 の 記述 の うち 正しい もの は いくつ ある か <EOS>,<BOS> <ALP> 社 が 乙 県内 で 一 回 の 宅地 の 分譲 を 行う ため の 案内 所 を 設置 し 当該 案内 所 において 売買 契約 の 申 込み を 受けよ う と する 場合 <ALP> 社 は 国土 交通 大臣 に その 旨 を 届け出 なけれ ば なら ない <EOS>
<BOS> 不動産 の 登記 事項 証明 書 の 交付 の 請求 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 送付 の 方法 による 登記 事項 証明 書 の 交付 を 請求 する 場合 は 電子 情報処理 組織 を 使用 し て 請求 する こと が できる <EOS>
<BOS> 不動産 の 鑑定 評価 に関する 次 の 記述 の うち 不動産 鑑定 評価 基準 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 収益 価格 を 求める 方法 に は 直接 還元 法 と <ALP> <ALP> <ALP> 法 と が ある が 不動産 の 証券 化 に 係る 鑑定 評価 で 毎期 の 純 収益 の 見通し 等 について 詳細 な 説明 が 求め られる 場合 に は <ALP> 法 の 適用 を 原則 と する <EOS>
<BOS> 次 の 記述 の うち 宅地 建物 取引 業法 以下 この 問 において 法 という の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 宅地 建物 取引 業者 が 建物 の 貸借 の 媒介 を 行う 場合 借 賃 以外 に 金銭 の 授受 が ある とき は その 額 及び 授受 の 目的 について 法 第 <NUM> 条 に 規定 する 重要 事項 を 記載 し た 書面 に 記載 し て いる の で あれ ば 法 第 <NUM> 条 の 規定 により 交付 す べき 書面 以下 この 問 において <NUM> 条 書面 と いう に 記載 する 必要 は ない <EOS>
<BOS> 借地 借家 法 第 <NUM> 条 の 定期 建物 賃貸借 以下 この間 において 定期 建物 賃貸借 という に関する 次 の 記述 の うち 借地 借家 法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 本件 契約 が 居住 用 建物 床 面積 <NUM> ㎡ の 賃貸借 の 場合 転勤 療養 親族 の 介護 その他 の やむを得ない 事情 により 賃 借入 が 建物 を 自己 の 生活 の 本拠 として 使用 する こと が 困難 と なっ た とき は 賃 借入 は 本件 契約 の 解約 の 申入れ を する こと が でき 解約 の 申入れ の 日 から <NUM> 月 を 経過 する こと によって 終了 する <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 消費 税 課税 事業 者 が <ALP> から 代理 の 依頼 を 受け 宅地 建物 取引 業者 <ALP> 消費 税 課税 事業 者 が <ALP> から 媒介 の 依頼 を 受け <ALP> 所有 の <NUM> 万 円 の 宅地 を <ALP> に 売却 する 契約 を 成立 さ せ 報酬 を 受領 する 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は いくつ ある か <EOS>,<BOS> <ALP> が <ALP> から 受領 し た 報酬 額 によって は <ALP> は <ALP> から 報酬 を 受領 でき ない 場合 が ある <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 甲 の 依頼 を 受け 宅地 建物 取引 業者 <ALP> が 乙 の 依頼 を 受け て <ALP> 共同 し て 甲乙 間 に 契約 を 成立 さ せ 報酬 を 受領 し た 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 し ない もの は いくつ ある か なお 消費 税 及び 地方 消費 税 に関して は 考慮 し ない もの と する <EOS>,<BOS> 甲 所有 の 宅地 を 代金 <NUM> 万 円 で 乙 が 買う と の 売買 の 代理 の 場合 <ALP> が 印 から <ALP> が 乙 から それぞれ <NUM> 万 円 を 受領 し た <EOS>
<BOS> 土地 区画 整理 事業 における 換地 処分 に関する 次 の 記述 の うち 土地 区画 整理 法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 換地 計画 において 定め られ た 保留 地 は 換地 処分 の 公告 が あっ た 日 の 翌日 において 当該 保留 地 の 所在 する 市町村 が 取得 する <EOS>
<BOS> 宅地 建物 取引 業者 で ない <ALP> は 宅地 建物 取引 業者 <ALP> に対し <ALP> が 売主 で ある 宅地 建物 について <ALP> の 自宅 付近 の 喫茶店 で その 買受け の 申 込み を し た この 場合 宅地 建物 取引 業法 の 規定 に よれ ば 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> <ALP> は 申 込み の 撤回 を 書面 により 行う 必要 が あり その 効力 は <ALP> が 申込み の 撤回 を 行う 旨 の 書面 を 発し た 時 に 生ずる <EOS>
<BOS> 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 海岸 法 に よれ ば 海岸 保全 区域 内 において 土石 砂 を 含む を 採取 しよ う と する 者 は 原則 として 海岸 管理 者 の 許可 を 受け なけれ ば なら ない <EOS>
<BOS> 都市 計画 法 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 特別 用途 地区 は 文教 地区 観光 地区 など の <NUM> 類型 の 総称 で あり 主として 用途 地域 による 用途 規制 を 強化 し たり 緩和 する こと により 当該 地区 の 特性 に ふさわしい 特別 の 目的 の 実現 を 図る もの で ある <EOS>
<BOS> 建築 基準 法 の 確認 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 防火 地域 内 において 鉄筋コンクリート <NUM> 階 建て 延べ 面積 <NUM> <ALP> の 事務所 について <NUM> <ALP> の 増築 を 行う 場合 建築 確認 を 受ける 必要 が ある <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 甲 県知事 免許 が 本店 と <NUM> つ の 支店 を 有する 場合 <ALP> の 営業 保証 金 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> が <NUM> つ の 支店 を 廃止 し その 旨 の 届出 を し た とき は 営業 保証 金 の 額 が 政令 で 定める 額 を 超える こと と なる ので その 超過 額 <NUM> 万 円 について 公告 を せ ず に 直ちに 取り戻す こと が できる <EOS>
<BOS> 遺言 に関する 次 の 記述 の うち 民法 の 規定 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 満 <NUM> 歳 の 者 は 法定 代理人 が あらかじめ 同意 を 与え て い た とき に 限り 遺言 を する こと が できる <EOS>
<BOS> 不動産 取得 税 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 不動産 取得 税 を 徴収 しよ う と する 場合 において 納税 者 に 交付 す べき 納税 通知 書 は 遅くとも その 納 期限 前 <NUM> 日 まで に 納税 者 に 交付 し なけれ ば なら ない <EOS>
<BOS> 宅地 建物 取引 業者 が 行う 広告 等 に関する 次 の 記述 の うち 不当 景品 類 及び 不当 表示 防止 法 不動産 の 表示 に関する 公正 競争 規約 を 含む の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 傾斜地 を 含む こと により 当該 土地 の 有効 な 利用 が 著しく 阻害 さ れる 場合 は 原則 として 傾斜地 を 含む 旨 及び 傾斜地 の 割合 又は 面積 を 明示 し なけれ ば なら ない が マンション について は これ を 明示 せ ず に 表示 し て も よい <EOS>
<BOS> 成年 <ALP> に は 将来 相続 人 と なる <ALP> 及び <ALP> いずれ も 法定 相続 分 は <NUM> 分の <NUM> が いる <ALP> が 所有 し て いる 甲 土地 の 処分 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> が 相続 財産 全部 を <ALP> に 相続 さ せる 旨 の 有効 な 遺言 を し て 死亡 し た 場合 <ALP> が <ALP> の 配偶 者 で <ALP> が <ALP> の 子 で ある とき は <ALP> に は 相続 財産 の <NUM> 分の <NUM> の 遺留分 が ある の に対し <ALP> 及び <ALP> が <ALP> の 兄弟 で ある とき は <ALP> に は 遺留分 が ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自ら 売主 として <ALP> と 住宅 の 品質 確保 の 促進 等 に関する 法律 以下 この間 において 住宅 品質 確保 法 という 第 <NUM> 条 第 <ALP> 項 に 規定 する 住宅 の 売買 契約 を 締結 し た 場合 における 特定 住宅 瑕疵 担保 責任 に関する 次 の 記述 の うち 特定 住宅 瑕疵 担保 責任 の 履行 の 確保 等 に関する 法律 以下 この間 において 住宅 取 庇 担保 履行 法 という の 規定 に よれ ば 正しい もの は どれ か なお この間 における 資力 確保 措置 と は 住宅 瑕疵 担保 履行 法 に 基づく 住宅 販売 瑕疵 担保 保証 金 の 供託 又は 住宅 販売 瑕疵 担保 責任 保険 契約 の 締結 等 を いう もの と する <EOS>,<BOS> 平成 <NUM> 年 <NUM> 月 <NUM> 日 に <ALP> と 宅地 建物 取引 業者 で ない <ALP> と の 間 で 住宅 品質 確保 法 第 <NUM> 条 第 <NUM> 項 に 規定 する 新築 住宅 の 売買 契約 が 締結 さ れ 当該 住宅 が 同年 <NUM> 月 <NUM> 日 に <ALP> に 引き渡さ れ た 場合 <ALP> が 負う 住宅 取 庇 担保 履行 法 に 基づく 資力 確保 措置 の 対象 と なる 特定 住宅 瑕疵 担保 責任 の 内容 は 住宅 品質 確保 法 第 <NUM> 条 第 <ALP> 項 の 規定 による 担保 の 責任 の 内容 と 同一 で ある <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が その 業務 を 行う 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 する もの の 組合せ として 正しい もの は どれ か <EOS>,<BOS> <ALP> が <ALP> 所有 で は ある が <ALP> 名義 の 所有 権 の 登記 の なさ れ て い ない 建物 について 売買 契約 を 締結 する 際 に 相手方 に対して 当該 建物 は 当社 <ALP> が 所有 し て おり 税金 対策 で 登記 し て い ませ ん 買っ て 頂い た 時点 で 直接 お客様 の 名義 に 登記 する よう に し て おり ます と 告げ た <EOS>
<BOS> 宅地 建物 取引 業者 が マンション の <NUM> 戸 の 賃貸借 の 媒介 を 行う に際し 宅地 建物 取引 業法 第 <NUM> 条 の 規定 による 重要 事項 の 説明 を 行っ た この 場合 次 の 記述 の うち 同 条 の 規定 に 違反 し ない もの は どれ か <EOS>,<BOS> 建物 の 区分 所有 等 に関する 法律 に 規定 する 専有 部分 の 用途 その他 の 利用 の 制限 に関する 規約 の 定め その 案 を 含む が なかっ た ので その こと について は 説明 し なかっ た <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 甲 県知事 免許 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 し ない もの は どれ か なお 本店 と 支店 と は もより の 供託 所 を 異に する <EOS>,<BOS> <ALP> は 甲 県内 に <NUM> つ の 支店 を 新設 し 本店 の もより の 供託 所 に <NUM> 万 円 を 供託 し 営業 を 開始 し た 後 営業 保証 金 を 供託 し た 旨 を 甲 県知事 に 届け出 た <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が <ALP> の 所有 する 建物 を 自ら 売主 として <ALP> に 売却 する 契約 を 締結 し た この 場合 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 する もの は どれ か <EOS>,<BOS> <ALP> が <ALP> と 当該 建物 の 売買 の 予約 を し た うえ で 当該 建物 について <ALP> と 売買 契約 を 締結 し た 場合 で <ALP> が 宅地 建物 取引 業者 で ない とき <EOS>
<BOS> <ALP> は <ALP> 所有 の 甲 建物 につき 居住 を 目的 として 期間 <NUM> 年 賃料 月額 <NUM> 万 円 と 定め た 賃貸借 契約 以下 この 問 において 本件 契約 と いう を <ALP> と 締結 し て 建物 の 引渡し を 受け た この 場合 における 次 の 記述 の うち 民法 及び 借地 借家 法 の 規定 並びに 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 本件 契約 期間 中 に <ALP> が 甲 建物 を <ALP> に 売却 し た 場合 <ALP> は 甲 建物 に 賃借 権 の 登記 を し て い なく て も <ALP> に対して 甲 建物 の 賃借 権 が ある こと を 主張 する こと が できる <EOS>
<BOS> <ALP> は <ALP> から 建物 を 買い受け て これ に 居住 し て い た が この 建物 に は 構造 上 の 欠陥 が あり これ に 起因 し て その 一部 が 倒壊 し 通行人 <ALP> が 負傷 し た この 欠陥 は <ALP> から 建築 工事 を 請け負っ た <ALP> の 手抜き による もの で あっ た が <ALP> ともに その 欠陥 の 存在 につき 善意 無 過失 で あっ た この 場合 の 不法 行為 責任 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> は <ALP> の 手抜き 工事 が <ALP> の 注文 又は 指図 に 基づく もの で あっ た という よう な 事情 が ない 限り 原則 として <ALP> に対して 不法 行為 責任 を 負わ ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 社 が 行う 業務 に関する 次 の 記述 の うち 宅地 建物 取引 業法 以下 この間 において 法 という の 規定 に 違反 し ない もの の 組合せ として 正しい もの は どれ か なお この間 において <NUM> 条 書面 と は 法 第 <NUM> 条 の 規定 により 交付 す べき 書面 を いう もの と する <EOS>,<BOS> <ALP> 社 は 居住 用 建物 の 貸借 を 媒介 し 当該 賃貸借 契約 を 成立 さ せ た この 際 当該 建物 の 引渡し の 時期 に関する 定め が あっ た が 法 第 <NUM> 条 の 規定 に 基づく 重要 事項 の 説明 において 既に 借主 へ 伝達 し て い た こと から <NUM> 条 書面 に は その 内容 を 記載 し なかっ た <EOS>
<BOS> 土地 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 自然 堤防 に 囲ま れ た 後背 低地 は 粘性 土 等 を 主 に 地盤 は 軟弱 で ある 場合 が 多く 盛土 の 沈下 が 問題 に なり やすい <EOS>
<BOS> 宅地 及び 建物 の 売買 の 媒介 における 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> の 規定 に 基づく 媒介 契約 の 内容 を 記載 し た 書面 以下 この間 において 媒介 契約 書面 という 及び 第 <NUM> 条 の 規定 に 基づく 重要 事項 を 記載 し た 書面 以下 この間 において <NUM> 条 書面 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 媒介 契約 書面 は 媒介 契約 締結 後 遅滞 なく その 依頼 者 に <NUM> 条 書面 は 売買 契約 締結 前 に その 買主 に対して 交付 し なけれ ば なら ない <EOS>
<BOS> 宅地 建物 取引 業 の 免許 以下 免許 という に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 甲 県 住宅供給公社 <ALP> の 行う 一団 の 土地 について 宅地 建物 取引 業者 <ALP> が 代理 し て 不 特定 多数 の 者 に 反復 継続 し て 分譲 する 場合 <ALP> は 免許 を 受ける 必要 は ない <EOS>
<BOS> 土地 に関する 次 の 記述 の うち 最も 不 適当 な もの は どれ か <EOS>,<BOS> 山麓 部 の 利用 に当たって は 背後 の 地形 地質 地盤 について 十分 吟味 する 必要 が ある <EOS>
<BOS> 宅地 建物 取引 業 保証 協会 以下 この間 において 保証 協会 という 及び 弁済 業務 保証 金 分担 金 以下 この間 において 分担 金 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> <NUM> 万 円 の 分担 金 を 納付 し て 保証 協会 の 社員 と なっ た 者 が 当該 保証 協会 の 社員 の 地位 を 失っ た とき は その 地位 を 失っ た 日 から <NUM> 週間 以内 に <NUM> 万 円 の 営業 保証 金 を 供託 し なけれ ば なら ない <EOS>
<BOS> <ALP> が <ALP> の 欺罔 行為 によって <ALP> 所有 の 建物 を <ALP> に 売却 する 契約 を し た 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> <ALP> は <ALP> が 欺罔 行為 を し た こと を <ALP> が 知っ て いる とき で ない と 売買 契約 の 取消し を する こと が でき ない <EOS>
<BOS> 国土 利用 計画 法 第 <NUM> 条 の 届出 以下 この 問 において 事後 届出 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 土地 売買 等 の 契約 を 締結 し た 場合 に は 当事者 の うち 当該 契約 による 権利 取得 者 は その 契約 に 係る 土地 の 登記 を 完了 し た 日 から 起算 し て <NUM> 週間 以内 に 事後 届出 を 行わ なけれ ば なら ない <EOS>
