Q_MAIN,ANS1,ANS2,ANS3,ANS4,ANS
宅地建物取引業者が、マンションの1戸の賃貸借の媒介を行うに際し、宅地建物取引業法第35条の規定による重要事項の説明を行った。この場合、次の記述のうち、同条の規定に違反しないものはどれか。,マンションの所有者についての登記名義人は説明したが、当該マンションに係る登記されている抵当権については説明しなかった。,敷金の額については説明したが、その敷金をどのように精算するかについては説明しなかった。,建物の区分所有等に関する法律に規定する専有部分の用途その他の利用の制限に関する規約の定め（その案を含む。）がなかったので、そのことについては説明しなかった。,マンションの管理の委託を受けている法人については、その商号又は名称は説明したが、その主たる事務所の所在地については説明しなかった。,3
宅地建物取引業者Aは、Bから住宅用地の購入について依頼を受け媒介契約を締結していたところ、古い空き家が建った土地（甲地）を見つけ、甲地の所有者とBとの売買契約を締結させ、又はさせようとしている。この場合、宅地建物取引業法の規定によれば、次の記述のうち正しいものはどれか。,Aは、Bが住宅の建設を急いでおり更地の取得を希望していることを知っていた場合でも、空き家について登記がされていないときは、Bに対して空き家が存する事実を告げる必要はない。,甲地が都市計画法による第二種低層住居専用地域に指定されている場合で、その制限について宅地建物取引業法第35条の規定による重要事項の説明をするとき、Aは、Bに対して、低層の住宅が建築できることを告げれば足りる。,AがBに対して、甲地の現況を説明しようとする場合、Aが甲地の地中の埋設管の有無について土地利用状況の経歴、関係者への照会等の調査を実施したが判明せず、埋設管の無いことを断定するためには掘削その他の特別の調査が必要であるときは、Aは、その旨を告げれば足りる。,Bが甲地を取得し、自ら古い空き家を除去するつもりである場合で、媒介契約に特別の定めがないとき、Aは、Bが甲地を取得した後も、その空家の除去が完成するまでは、媒介報酬の支払を請求することはできない。,3
宅地建物取引業者Aが行う宅地建物取引業法第35条の重要事項の説明に関する次の記述のうち、同条の規定に違反しないものはどれか。,Aは、建物（建築工事完了前）の売買の契約を行うに際し、建物の完成時における主要構造部、内装及び外装の構造又は仕上げ並びに設備の設置及び構造についての図面を渡したのみで、当該図面の説明はしなかった。,Aは、マンションの分譲を行うに際し、当該マンションの管理規約案に「分譲業者であるAは当該マンションの未販売住戸の修繕積立金を負担しなくてもよい」とする規定があったが、これについては説明しなかった。,Aは、中古マンションの売買の媒介を行うに際し、当該マンション修繕の実施状況について、当該マンションの管理組合及び管理業者に確認したところ、修繕の実施状況の記録が保存されていなかったため、購入者にこの旨説明し、実施状況については説明しなかった。,Aは、建物の売買の契約を行うに際し、当該建物は住宅の品質確保の促進等に関する法律の住宅性能評価を受けた新築住宅であったが、その旨説明しなかった。,3
次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,法第35条に規定する重要事項を記載した書面には、説明した宅建取引士Aが記名押印をしたが、法第37条に規定する書面には、Aが不在であったため、宅建取引士でない従事者Bが、Aの記名押印を行った。,法第37条に規定する書面は、宅地又は建物の取引に係る契約書とは本来別個のものであるので、必ず取引の契約書とは別に当該書面を作成し、交付しなければならない。,法第35条の重要事項の説明のうち、宅地建物取引業者の相手方等の保護の必要性及び契約内容の別を勘案して国土交通省令で定められている事項は、宅地又は建物の貸借に係る事項であり、売買に係るものは含まれていない。,法第35条に規定する重要事項を記載した書面には、説明した宅建取引士Cが記名押印をしたが、法第37条に規定する書面には、Cが急病で入院したため、専任の宅建取引士Dが自ら記名押印した。,4
宅地建物取引業者Aが、宅地建物取引業法第35条の規定に基づき重要事項の説明を行う場合に関する次の記述のうち、誤っているものはどれか。,対象物件が建物の区分所有等に関する法律第2条第1項に規定する区分所有権の目的である場合、Aは、同条第4項に規定する共用部分に関する規約の定めがあるときはその内容を説明する必要があるが、当該規約が未だ案であるときはその内容を説明する必要はない。,売買契約の対象となる宅地が、建築基準法に基づき、地方公共団体が条例で指定した災害危険区域内にある場合、Aは、条例で定められている制限に関する事項の概要を説明しなければならない。,賃貸借契約の対象となる建物について、高齢者の居住の安定確保に関する法律第56条で定める終身建物賃貸借の媒介をしようとする場合、Aはその旨を説明しなければならない。,売買契約の対象となる宅地が、土壌汚染対策法で規定する指定区域内にある場合、Aは、当該宅地の形質の変更を行おうとするときは、原則として、都道府県知事への届出が必要である旨を説明しなければならない。,1
宅地建物取引業法（以下この問において「法」という。）第35条に規定する重要事項の説明又は法第37条に規定する契約が成立したときに交付すべき書面に関する次の記述のうち、正しいものはどれか。,宅建取引士が法第37条に規定する契約が成立したときに交付すべき書面を作成した場合は、自ら署名をすれば押印は省略できる。,建物の賃貸借契約において、宅地建物取引業者（管理業務受託）が貸主代理として借主と契約締結した場合、法第37条に規定する契約が成立したときに交付すべき書面は借主にのみに交付すれば足りる。,宅地の売買について、売主A、Aの媒介業者B及び買主の媒介業者Cの三者がいずれも宅地建物取引業者である場合は、B及びCのみならず、Aも買主に対して法第35条に規定する重要事項の説明をすべき義務を負う。,宅地建物取引業者は、抵当権に基づく差押さえの登記がされている建物の賃貸借を媒介するに当たり、貸主から当該建物の差押さえを告げられなかった場合は、法第35条に基づき借主に対して当該の建物の上に存する登記の内容を説明する義務はない。,3
宅地建物取引業者Aの業務に関する次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定に違反しないものはどれか。,Aは、マンションの一室の賃貸借を媒介するに当たり、建物の区分所有等に関する法律第2条第3項に規定する専有部分の用途について、管理規約で「ペット飼育禁止」の制限があったが、借主に対し、そのことに関して法第35条の重要事項の説明を行わなかった。,Aは、自ら売主となり、土地付建物の売買契約を締結したが、買主Bが当該建物の隣に住んでいるので、都市ガスが供給されることを知っているとして、Bに対し、ガスの供給に関して法第35条の重要事項の説明を行わなかった。,Aは、オフィスビルの所有者Cから賃貸借の媒介を依頼されたが、過去数次にわたってCの物件について賃貸借の媒介をしていたことから、当該依頼に係る媒介契約を締結したとき、Cに対し、書面の作成及び交付を行わなかった。,Aは、売主Dと買主Eとの間における中古マンションの売買を媒介するに当たり、管理規約に定めのある修繕積立金をDが滞納していたが、Eに対し、そのことに関して法第35条の重要事項の説明を行わなかった。,3
宅地建物取引業者が行う重要事項の説明に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,売買契約の対象となる区分所有建物に、計画的な維持修繕費用の積立てを行う旨の規約の定めがある場合は、その旨を説明すれば足り、既に積み立てられている額を説明する必要はない。,売買契約の対象となる宅地が土砂災害警戒区域等における土砂災害防止対策の推進に関する法律によって指定された土砂災害警戒区域内である場合は、当該区域内における制限を説明すれば足り、対象物件が土砂災害警戒区域内にある旨の説明をする必要はない。,売買契約の対象となる建物が新築住宅であって、住宅の品質確保の促進等に関する法律第5条第1項に規定する住宅性能評価を受けた住宅である場合は、その旨を説明しなければならない。,宅地建物取引業者が自ら売主となる宅地の売買契約において損害賠償の額を予定し、その予定額が代金の額の2割を超える場合、その旨の説明があれば、その2割を超える部分についても有効である。,3
宅地建物取引業者が、宅地建物取引業法第35条に規定する重要事項について説明をする場合に関する次の記述のうち、正しいものはどれか。,自ら売主として、マンション（建築工事完了前）の分譲を行うに当たり、建物の完成時における当該マンションの外壁の塗装については説明しなくてもよいが、建物の形状や構造については平面図を交付して説明しなければならない。,事業用建物の賃貸借の媒介を行うに当たっても、居住用建物と同様に、台所、浴室等の設備の整備状況について説明しなければならない。,宅地建物取引業者ではない売主から依頼されて建物の売買の媒介を行うに当たり、損害賠償額の予定は説明しなくてもよいが、売主が瑕疵担保責任を負わないことについては説明しなければならない。,自ら売主として、マンションの分譲を行うに当たり、管理組合の総会の議決権に関する事項については、管理規約を添付して説明しなければならない。,2
宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、誤っているものはどれか。,宅地の売買の媒介において、当該宅地に係る移転登記の申請の予定時期については、説明しなくてもよい。,宅地の売買の媒介において、当該宅地が造成に関する工事の完了前のものであるときは、その完了時における形状、構造並びに宅地に接する道路の構造及び幅員を説明しなければならない。,宅地の売買の媒介において、天災その他不可抗力による損害の負担を定めようとする場合は、その内容を説明しなければならない。,宅地の貸借の媒介において、借地借家法第22条で定める定期借地権を設定しようとするときは、その旨を説明しなければならない。,3
宅地建物取引業者がマンションの一室の貸借の媒介を行う場合、宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはどれか。,当該マンションの管理が委託されているときは、その委託を受けている者の氏名（法人にあっては、その商号又は名称）、住所（法人にあっては、その主たる事務所の所在地）及び委託された業務の内容を説明しなければならない。,建築基準法に規定する容積率及び建ぺい率に関する制限があるときは、その制限内容を説明しなければならない。,建物の区分所有等に関する法律第2条第3項に規定する専有部分の用途その他の利用の制限に関する規約の定めがあるときは、その内容を説明しなければならない。,敷金の授受の定めがあるときは、その敷金の額、契約終了時の敷金の精算に関する事項及び金銭の保管方法を説明しなければならない。,3
宅地建物取引業者が建物の貸借の媒介を行う場合、次の記述のうち、宅地建物取引業法第35条の規定により重要事項としての説明が義務付けられていないものはどれか。,当該建物が土砂災害警戒区域等における土砂災害防止対策の推進に関する法律第6条第1項により指定された土砂災害警戒区域内にあるときは、その旨,当該建物が住宅の品質確保の促進等に関する法律第5条第1項に規定する住宅性能評価を受けた新築住宅であるときは、その旨,台所、浴室、便所その他の当該建物の設備の整備の状況,敷金その他いかなる名義をもって授受されるかを問わず、契約終了時において精算することとされている金銭の精算に関する事項,2
宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、同条の規定に違反しないものはどれか。,自ら売主として宅地の売買をする場合において、買主が宅地建物取引業者であるため、重要事項を記載した書面を交付しなかった。,建物の貸借の媒介において、水道、電気及び下水道は完備、都市ガスは未整備である旨説明したが、その整備の見通しまでは説明しなかった。,宅地の売買の媒介において、当該宅地の一部が私道の敷地となっていたが、買主に対して私道の負担に関する事項を説明しなかった。,建物の貸借の媒介において、建物の区分所有等に関する法律に規定する専有部分の用途その他の利用の制限に関する規約の定め（その案を含む。）がなかったので、そのことについては説明しなかった。,4
宅地建物取引業者が宅地建物取引業法第35条に規定する重要事項について説明する場合における次の記述のうち、正しいものはどれか。,建物の貸借の媒介において、当該建物について石綿が使用されていない旨の調査結果が記録されているときは、その旨を借主に説明しなくてもよい。,建物の貸借の媒介において、当該建物が宅地造成等規制法の規定により指定された造成宅地防災区域内にあるときは、その旨を借主に説明しなければならない。,平成19年10月に新築の工事に着手した建物の売買において、当該建物が指定確認検査機関、建築士、登録住宅性能評価機関又は地方公共団体による耐震診断を受けたものであるときは、その内容を買主に説明しなければならない。,宅地の売買の媒介において、当該宅地の瑕疵かしを担保すべき責任の履行に関し保証保険契約の締結等の措置を講じないときは、その旨を買主に説明しなくてもよい。,2
宅地建物取引業者Ａが建物に係る信託（Ａが委託者となるものとする。）の受益権を販売する場合において、宅地建物取引業法第35条の規定に基づいてＡが行う重要事項の説明に関する次の行為のうち、宅地建物取引業法の規定に違反しないものの組合せはどれか。,Ａは、販売の対象が信託の受益権であったので、買主Ｂに対し、宅建取引士でない従業員に説明をさせた。,Ａは、当該信託の受益権の売買契約を締結する半年前に、買主Ｃに対して当該契約と同一の内容の契約について書面を交付して説明していたので、今回は説明を省略した。,Ａは、買主Ｄが金融商品取引法第2条第31項に規定する特定投資家であったので、説明を省略した。,Ａは、当該信託財産である建物の瑕疵を担保すべき責任の履行に関して保証保険契約を締結していたが、買主Ｅに対しその説明を省略した。,2
宅地建物取引業者Ａが、マンションの分譲に際して行う宅地建物取引業法第35条の規定に基づく重要事項の説明に関する次の記述のうち、正しいものはどれか。,当該マンションの建物又はその敷地の一部を特定の者にのみ使用を許す旨の規約の定めがある場合、Ａは、その内容だけでなく、その使用者の氏名及び住所について説明しなければならない。,建物の区分所有等に関する法律第2条第4項に規定する共用部分に関する規約がまだ案の段階である場合、Ａは、規約の設定を待ってから、その内容を説明しなければならない。,当該マンションの建物の計画的な維持修繕のための費用の積立を行う旨の規約の定めがある場合、Ａは、その内容を説明すれば足り、既に積み立てられている額については説明する必要はない。,当該マンションの建物の計画的な維持修繕のための費用を特定の者にのみ減免する旨の規約の定めがある場合、Ａは、買主が当該減免対象者であるか否かにかかわらず、その内容を説明しなければならない。,4
宅地建物取引業者Ａが行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、誤っているものはどれか。,建物の売買の媒介を行う場合、当該建物が地域における歴史的風致の維持及び向上に関する法律第12条第１項の規定に基づく歴史的風致形成建造物であるときは、Ａは、その増築に際し市町村長への届出が必要である旨を説明しなければならない。,建物の売買の媒介を行う場合、当該建物について石綿の使用の有無の調査の結果が記録されていないときは、Ａは、自ら石綿の使用の有無の調査を行った上で、その結果の内容を説明しなければならない。,建物の貸借の媒介を行う場合、当該貸借の契約が借地借家法第38条第１項の規定に基づく定期建物賃貸借契約であるときは、Ａは、その旨を説明しなければならない。,建物の貸借の媒介を行う場合、Ａは、当該貸借に係る契約の終了時において精算することとされている敷金の精算に関する事項について、説明しなければならない。,2
宅地建物取引業法第35条に規定する重要事項の説明を宅建取引士が行う場合における次の記述のうち、誤っているものはどれか。,建物の売買の媒介の場合は、建築基準法に規定する建ぺい率及び容積率に関する制限があるときはその概要を説明しなければならないが、建物の貸借の媒介の場合は説明する必要はない。,宅地の売買の媒介の場合は、土砂災害警戒区域等における土砂災害防止対策の推進に関する法律第６条第１項により指定された土砂災害警戒区域内にあるときはその旨を説明しなければならないが、建物の貸借の媒介の場合は説明する必要はない。,建物の売買の媒介の場合は、住宅の品質確保の促進等に関する法律第５条第１項に規定する住宅性能評価を受けた新築住宅であるときはその旨を説明しなければならないが、建物の貸借の媒介の場合は説明する必要はない。,宅地の売買の媒介の場合は、私道に関する負担について説明しなければならないが、建物の貸借の媒介の場合は説明する必要はない。,2
宅地建物取引業法第35条に規定する重要事項の説明を宅建取引士が行う場合における次の記述のうち、同条の規定に違反しないものはどれか。,中古マンションの売買の媒介において、当該マンションに係る維持修繕積立金については説明したが、管理組合が保管している維持修繕の実施状況についての記録の内容については説明しなかった。,自ら売主となる新築住宅の売買において、重要事項の説明の時点で瑕かし疵担保責任の履行に関する責任保険の契約を締結する予定であることは説明したが、当該責任保険の概要については説明しなかった。,宅地の売買の媒介において、当該宅地が急傾斜地の崩壊による災害の防止に関する法律第３条の規定に基づく急傾斜地崩壊危険区域内にあることは説明したが、立木竹の伐採には都道府県知事の許可を受けなければならないことについては説明しなかった。,建物の売買の媒介において、登記された権利の種類及び内容については説明したが、移転登記の申請の時期については説明しなかった。,4
宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはどれか。,建物の貸借の媒介を行う場合、借賃以外に授受される金銭の額については説明しなければならないが、当該金銭の授受の目的については説明する必要はない。,昭和60年10月1日に新築の工事に着手し、完成した建物の売買の媒介を行う場合、当該建物が指定確認検査機関による耐震診断を受けたものであっても、その内容は説明する必要はない。,建物の売買の媒介を行う場合、当該建物が宅地造成等規制法の規定により指定された造成宅地防災区域内にあるときは、その旨を説明しなければならないが、当該建物の貸借の媒介を行う場合においては、説明する必要はない。,自ら売主となって建物の売買契約を締結する場合、買主が宅地建物取引業者でないときは、当該建物の引渡時期を説明する必要がある。,2
宅地建物取引業者A社は、自ら売主として宅地建物取引業者である買主B社と宅地の売買について交渉したところ、大筋の合意を得て、重要事項説明を翌日に行うこととした。しかし、重要事項説明の予定日の朝、A社の唯一の宅建取引士である甲が交通事故に遭い、５日間入院することとなった。この場合におけるA社の行為に関する次の記述のうち、宅地建物取引業法の規定に違反しないものはどれか。,A社の代表者である乙は、宅建取引士ではないが契約締結権限をもつ代表者であるため、甲を代理してB社の代表者丙に対し、甲の宅地建物取引士証を提示した上、重要事項説明を行った。なお、乙は宅地建物取引業に30年間携わったベテランであったこともあり、説明の内容に落ち度はなかった。,A社の従業者である丁は、有効期間は満了しているが、宅地建物取引士証を持っていたため、丁がその宅地建物取引士証を提示した上、B社の代表者丙に重要事項説明を行った。,事情を知ったB社の代表者丙から、「自分も宅地建物取引業に長年携わっているので、重要事項説明は契約後でも構わない」という申出があったため、重要事項説明は契約締結後に退院した甲が行った。,事情を知ったB社と合意の上、A社は重要事項を記載した書面を交付するにとどめ、退院後、契約締結前に甲が重要事項説明を行った。,4
宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはどれか。,建物の貸借の媒介を行う場合、当該建物が住宅の品質確保の促進等に関する法律に規定する住宅性能評価を受けた新築住宅であるときは、その旨について説明しなければならないが、当該評価の内容までを説明する必要はない。,建物の売買の媒介を行う場合、飲用水、電気及びガスの供給並びに排水のための施設が整備されていないときは、その整備の見通し及びその整備についての特別の負担に関する事項を説明しなければならない。,建物の貸借の媒介を行う場合、当該建物について、石綿の使用の有無の調査の結果が記録されているときは、その旨について説明しなければならないが、当該記録の内容までを説明する必要はない。,昭和55年に竣工した建物の売買の媒介を行う場合、当該建物について耐震診断を実施した上で、その内容を説明しなければならない。,2
宅地建物取引業法（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。,宅地建物取引業者でない売主と宅地建物取引業者である買主が、媒介業者を介さず宅地の売買契約を締結する場合、法第35条の規定に基づく重要事項の説明義務を負うのは買主の宅地建物取引業者である。,建物の管理が管理会社に委託されている当該建物の賃貸借契約の媒介をする宅地建物取引業者は、当該建物が区分所有建物であるか否かにかかわらず、その管理会社の商号又は名称及びその主たる事務所の所在地を、借主に説明しなければならない。,区分所有建物の売買において、売主及び買主が宅地建物取引業者である場合、当該売主は当該買主に対し、当該一棟の建物に係る計画的な維持修繕のための修繕積立金積立総額及び売買の対象となる専有部分に係る修繕積立金額の説明をすれば、滞納があることについては説明をしなくてもよい。,区分所有建物の売買において、売主及び買主が宅地建物取引業者である場合、当該売主は当該買主に対し、法第35条の2に規定する供託所等の説明をする必要はない。,2
宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明（以下この問において「重要事項説明」という。）及び同条の規定により交付すべき書面（以下この問において「35条書面」という。）に関する次の記述のうち、正しいものはどれか。,宅地建物取引業者は、宅地又は建物の売買について売主となる場合、買主が宅地建物取引業者であっても、重要事項説明は行わなければならないが、35条書面の交付は省略してよい。,宅地建物取引業者が、宅建取引士をして取引の相手方に対し重要事項説明をさせる場合、当該宅建取引士は、取引の相手方から請求がなくても、宅地建物取引士証を相手方に提示しなければならず、提示しなかったときは、20万円以下の罰金に処せられることがある。,宅地建物取引業者は、貸借の媒介の対象となる建物（昭和56年5月31日以前に新築）が、指定確認検査機関、建築士、登録住宅性能評価機関又は地方公共団体による耐震診断を受けたものであっても、その内容を重要事項説明において説明しなくてもよい。,宅地建物取引業者は、重要事項説明において、取引の対象となる宅地又は建物が、津波防災地域づくりに関する法律の規定により指定された津波災害警戒区域内にあるときは、その旨を説明しなければならない。,4
宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはどれか。,宅地建物取引業者は、自ら売主として分譲マンションの売買を行う場合、管理組合の総会の議決権に関する事項について、管理規約を添付して説明しなければならない。,宅地建物取引業者は、分譲マンションの売買の媒介を行う場合、建物の区分所有等に関する法律第2条第4項に規定する共用部分に関する規約の定めが案の段階であっても、その案の内容を説明しなければならない。,宅地建物取引業者は、マンションの1戸の貸借の媒介を行う場合、建築基準法に規定する容積率及び建ぺい率に関する制限があるときは、その制限内容を説明しなければならない。,宅地建物取引業者は、マンションの1戸の貸借の媒介を行う場合、借賃以外に授受される金銭の定めがあるときは、その金銭の額、授受の目的及び保管方法を説明しなければならない。,2
宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはどれか。,建物の売買の媒介を行う場合、当該建物の売主に耐震診断の記録の有無を照会したにもかかわらず、当該有無が判別しないときは、自ら耐震診断を実施し、その結果を説明する必要がある。,建物の貸借の媒介を行う場合、当該建物が津波防災地域づくりに関する法律第23条第1項の規定に基づく津波防護施設区域に位置しているときはその旨を説明する必要があるが、同法第53条第1項の規定に基づく津波災害警戒区域に位置しているときであってもその旨は説明する必要はない。,建物の売買の媒介を行う場合、売主が特定住宅瑕疵担保責任の履行の確保等に関する法律に基づく住宅販売瑕か疵し担保保証金の供託を行うときは、その措置の概要を説明する必要があるが、当該建物の瑕か疵しを担保すべき責任の履行に関し保証保険契約の締結を行うときは、その措置の概要を説明する必要はない。,区分所有権の目的である建物の貸借の媒介を行う場合、その専有部分の用途その他の利用制限に関する規約の定めがあるときはその内容を説明する必要があるが、１棟の建物又はその敷地の専用使用権に関する規約の定めについては説明する必要がない。,4
宅地建物取引業法第35条に規定する重要事項の説明及び同条の規定により交付すべき書面（以下この問において「35条書面」という。）に関する次の記述のうち、同法の規定によれば、誤っているものはどれか。,宅地建物取引業者は、買主の自宅で35条書面を交付して説明を行うことができる。,宅地建物取引業者は、中古マンションの売買を行う場合、抵当権が設定されているときは、契約日までにその登記が抹消される予定であっても、当該抵当権の内容について説明しなければならない。,取引士は、宅地建物取引士証の有効期間が満了している場合、35条書面に記名押印することはできるが、取引の相手方に対し説明はできない。,宅地建物取引業者は、土地の割賦販売の媒介を行う場合、割賦販売価格のみならず、現金販売価格についても説明しなければならない。,3
建物の貸借の媒介を行う宅地建物取引業者が、その取引の相手方に対して行った次の発言内容のうち、宅地建物取引業法の規定に違反しないものはどれか。なお、この問において「重要事項説明」とは同法第35条の規定に基づく重要事項の説明をいい、「重要事項説明書」とは同条の規定により交付すべき書面をいうものとする。,重要事項説明のため、明日お宅にお伺いする当社の者は、取引士ではありませんが、当社の最高責任者である代表取締役ですので、重要事項説明をする者として問題ございません。,この物件の契約条件につきましては、お手元のチラシに詳しく書いてありますので、重要事項説明は、内容が重複するため省略させていただきます。ただ、重要事項説明書の交付は、法律上の義務ですので、入居後、郵便受けに入れておきます。,この物件の担当である取引士が急用のため対応できなくなりましたが、せっかくお越しいただきましたので、重要事項説明書にある取引士欄を訂正の上、取引士である私が記名押印をし、代わりに重要事項説明をさせていただきます。私の宅地建物取引士証をお見せします。,この物件は人気物件ですので、申込みをいただいた時点で契約成立とさせていただきます。後日、重要事項説明書を兼ねた契約書を送付いたしますので、署名押印の上、返送していただければ、手続は全て完了いたします。,3
次に記述する宅地建物取引業者Ａが行う業務に関する行為のうち、宅地建物取引業法の規定に違反しないものはどれか。,宅地の売買の媒介において、当該宅地の周辺環境について買主の判断に重要な影響を及ぼす事実があったため、買主を現地に案内した際に、宅建取引士でないＡの従業者が当該事実について説明した。,建物の貸借の媒介において、申込者が自己都合で申込みを撤回し賃貸借契約が成立しなかったため、Ａは、既に受領していた預り金から媒介報酬に相当する金額を差し引いて、申込者に返還した。,Ａの従業者は、宅地の販売の勧誘に際し、買主に対して「この付近に鉄道の新駅ができる」と説明したが、実際には新駅設置計画は存在せず、当該従業者の思い込みであったことが判明し、契約の締結には至らなかった。,Ａは、自ら売主として、宅地の売却を行うに際し、買主が手付金100万円を用意していなかったため、後日支払うことを約して、手付金を100万円とする売買契約を締結した。,1
宅地建物取引業者Ａの業務に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,Ａは、実在しない宅地について広告又は虚偽の表示を行ってはならないが、実在する宅地については、実際に販売する意思がなくても、当該宅地の広告の表示に誤りがなければ、その広告を行うことができる。,Ａは、新築分譲マンションを建築工事の完了前に売却する場合、建築基準法第6条第1項の確認を受ける前において、当該マンションの売買の広告及び売買契約の締結のいずれもすることはできない。,都市計画法第29条第1項の許可を必要とする宅地について、Ｂが開発行為を行い貸主として貸借をしようとする場合、Ａは、Ｂがその許可を受ける前であっても、Ｂの依頼により当該宅地の貸借の広告をすることができるが、当該宅地の貸借の媒介をすることはできない。,Ａは、都市計画法第29条第1項の許可を必要とする宅地について開発行為を行いＣに売却する場合、Ｃが宅地建物取引業者であれば、その許可を受ける前であっても当該宅地の売買の予約を締結することができる。,2
次の記述のうち、宅地建物取引業法の規定に違反しないものの組合せとして、正しいものはどれか。なお、この問において「建築確認」とは、建築基準法第6条第1項の確認をいうものとする。,宅地建物取引業者Ａ社は、建築確認の済んでいない建築工事完了前の賃貸住宅の貸主Ｂから当該住宅の貸借の媒介を依頼され、取引態様を媒介と明示して募集広告を行った。,宅地建物取引業者Ｃ社は、建築確認の済んでいない建築工事完了前の賃貸住宅の貸主Ｄから当該住宅の貸借の代理を依頼され、代理人として借主Ｅとの間で当該住宅の賃貸借契約を締結した。,宅地建物取引業者Ｆ社は、建築確認の済んだ建築工事完了前の建売住宅の売主Ｇ社（宅地建物取引業者）との間で当該住宅の売却の専任媒介契約を締結し、媒介業務を行った。,宅地建物取引業者Ｈ社は、建築確認の済んでいない建築工事完了前の建売住宅の売主Ｉ社（宅地建物取引業者）から当該住宅の売却の媒介を依頼され、取引態様を媒介と明示して当該住宅の販売広告を行った。,2
宅地建物取引業者Ａが行う業務に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,Ａは、新築分譲マンションを建築工事の完了前に販売しようとする場合、建築基準法第6条第1項の確認を受ける前において、当該マンションの売買契約の締結をすることはできないが、当該販売に関する広告をすることはできる。,Ａは、宅地の売買に関する広告をするに当たり、当該宅地の形質について、実際のものよりも著しく優良であると人を誤認させる表示をした場合、当該宅地に関する注文がなく、売買が成立しなかったときであっても、監督処分及び罰則の対象となる。,Ａは、宅地又は建物の売買に関する広告をする際に取引態様の別を明示した場合、当該広告を見た者から売買に関する注文を受けたときは、改めて取引態様の別を明示する必要はない。,Ａは、一団の宅地の販売について、数回に分けて広告をするときは、最初に行う広告以外は、取引態様の別を明示する必要はない。,2
宅地建物取引業者Aは、宅地の売買を媒介し、契約が成立した場合、宅地建物取引業法第37条の規定により、その契約の各当事者に書面を交付しなければならないが、次の事項のうち、当該書面に記載しなくてもよいものはどれか。,代金以外の金銭の授受に関する定めがあるときは、その額並びに当該金銭の授受の時期及び目的,当該宅地上に存する登記された権利の種類及び内容並びに登記名義人又は登記簿の表題部に記載された所有者の氏名（法人にあっては、その名称）,損害賠償額の予定又は違約金に関する定めがあるときは、その内容,当該宅地に係る租税その他の公課の負担に関する定めがあるときは、その内容,2
宅地建物取引業者が、宅地又は建物の売買の媒介に際して相手方に交付する必要のある書面に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。なお、この問において、「重要事項説明書」又は「契約書面」とは、それぞれ同法第35条又は同法第37条の規定に基づく書面をいう。,契約の解除については、特に定めをしなかったため、重要事項説明書にはその旨記載し内容を説明したが、契約書面には記載しなかった。,代金の額及びその支払の時期については、重要事項説明書に記載し内容を説明したが、契約書面には記載しなかった。,宅地及び建物の引渡しの時期については、特に定めをしなかったため、重要事項説明書にはその旨記載し内容を説明したが、契約書面には記載しなかった。,移転登記の申請の時期については、特に定めをしなかったため、重要事項説明書にはその旨記載し内容を説明したが、契約書面には記載しなかった。,1
売主A、買主Bの間の宅地の売買について宅地建物取引業者Cが媒介をした場合の次の記述のうち、宅地建物取引業法（以下この問において「法」という。）に違反しないものはどれか。,Cは、宅建取引士をして法第35条に基づく重要事項の説明（以下この問において「重要事項説明」という。）を行わせたが、AとBの同意があったため、法第37条の規定に基づく契約内容を記載した書面（以下この問において「契約書面」という。）を交付しなかった。,Cの従業者である宅建取引士がBに対して重要事項説明を行う際に、Bから請求がなかったので、宅地建物取引士証を提示せず重要事項説明を行った。,Cは、AとBとの契約が成立したので、宅建取引士に記名押印させ、AとBに対して契約書面を交付したが、両者に対して書面に記載された事項を説明しなかった。,AとBどちらからも、早く契約したいとの意思表示があったため、Cは契約締結後に重要事項説明をする旨AとBの了解を得た後に契約を締結させ、契約書面を交付した。,3
